Departamento,Municipio,Codigo_DANE,Tipo_ruralidad
Boyacá,Chiquinquirá,15176,Intermedio
Boyacá,Chivatá,15187,Intermedio
Boyacá,Cucaita,15224,Intermedio
Boyacá,El Espino,15248,Intermedio
Boyacá,Firavitoba,15272,Intermedio
Boyacá,Garagoa,15299,Intermedio
Boyacá,Guateque,15322,Intermedio
Boyacá,Iza,15362,Intermedio
Boyacá,Jenesano,15367,Intermedio
Boyacá,Monguí,15466,Intermedio
Antioquia,Amagá,5030,Intermedio
Antioquia,Andes,5034,Intermedio
Antioquia,Angelópolis,5036,Intermedio
Antioquia,Arboletes,5051,Intermedio
Antioquia,Betania,5091,Intermedio
Antioquia,Betulia,5093,Intermedio
Antioquia,Caramanta,5145,Intermedio
Antioquia,Carepa,5147,Intermedio
Antioquia,Chigorodó,5172,Intermedio
Antioquia,Cisneros,5190,Intermedio
Antioquia,Ciudad Bolívar,5101,Intermedio
Antioquia,Concordia,5209,Intermedio
Antioquia,Don Matías,5237,Intermedio
Antioquia,El Bagre,5250,Intermedio
Antioquia,El Carmen de Viboral,5148,Intermedio
Antioquia,El Santuario,5697,Intermedio
Antioquia,Fredonia,5282,Intermedio
Antioquia,Granada,5313,Intermedio
Antioquia,Guadalupe,5315,Intermedio
Antioquia,Guarne,5318,Intermedio
Antioquia,Guatapé,5321,Intermedio
Antioquia,Heliconia,5347,Intermedio
Antioquia,Hispania,5353,Intermedio
Antioquia,Jardín,5364,Intermedio
Antioquia,Jericó,5368,Intermedio
Antioquia,La Ceja,5376,Intermedio
Antioquia,La Pintada,5390,Intermedio
Antioquia,La Unión,5400,Intermedio
Antioquia,Marinilla,5440,Intermedio
Antioquia,Montebello,5467,Intermedio
Antioquia,Peñol,5541,Intermedio
Antioquia,Pueblorrico,5576,Intermedio
Antioquia,Puerto Berrío,5579,Intermedio
Antioquia,Puerto Triunfo,5591,Intermedio
Antioquia,Retiro,5607,Intermedio
Antioquia,San Jerónimo,5656,Intermedio
Antioquia,San Juan de Urabá,5659,Intermedio
Antioquia,San Pedro,5664,Intermedio
Antioquia,San Pedro de Urabá,5665,Intermedio
Antioquia,San Vicente,5674,Intermedio
Antioquia,Santa Bárbara,5679,Intermedio
Antioquia,Segovia,5736,Intermedio
Antioquia,Sopetrán,5761,Intermedio
Antioquia,Támesis,5789,Intermedio
Antioquia,Moniquirá,15469,Intermedio
Antioquia,Motavita,15476,Intermedio
Antioquia,Muzo,15480,Intermedio
Antioquia,Nobsa,15491,Intermedio
Antioquia,Nuevo Colón,15494,Intermedio
Antioquia,Paipa,15516,Intermedio
Antioquia,Puerto Boyacá,15572,Intermedio
Antioquia,Ramiriquí,15599,Intermedio
Antioquia,Sáchica,15638,Intermedio
Antioquia,Samacá,15646,Intermedio
Antioquia,Santa Rosa de Viterbo,15693,Intermedio
Antioquia,Santana,15686,Intermedio
Antioquia,Soatá,15753,Intermedio
Antioquia,Sutatenza,15778,Intermedio
Antioquia,Tibasosa,15806,Intermedio
Antioquia,Toca,15814,Intermedio
Antioquia,Tópaga,15820,Intermedio
Antioquia,Turmequé,15835,Intermedio
Antioquia,Ventaquemada,15861,Intermedio
Antioquia,Villa de Leyva,15407,Intermedio
Caldas,Anserma,17042,Intermedio
Caldas,Aranzazu,17050,Intermedio
Caldas,Belalcázar,17088,Intermedio
Caldas,Chinchiná,17174,Intermedio
Caldas,Filadelfia,17272,Intermedio
Caldas,La Dorada,17380,Intermedio
Caldas,La Merced,17388,Intermedio
Caldas,Manzanares,17433,Intermedio
Caldas,Marmato,17442,Intermedio
Caldas,Marquetalia,17444,Intermedio
Caldas,Neira,17486,Intermedio
Caldas,Palestina,17524,Intermedio
Caldas,Riosucio,17614,Intermedio
Caldas,Risaralda,17616,Intermedio
Caldas,San José,17665,Intermedio
Caldas,Supía,17777,Intermedio
Caldas,Viterbo,17877,Intermedio
Casanare,Aguazul,85010,Intermedio
Cauca,Corinto,19212,Intermedio
Cauca,Florencia,19290,Intermedio
Cauca,Guachené,19300,Intermedio
Cauca,Miranda,19455,Intermedio
Cauca,Piendamó,19548,Intermedio
Cauca,Rosas,19622,Intermedio
Cauca,Santander de Quilichao,19698,Intermedio
Cauca,Timbío,19807,Intermedio
Cesar,Aguachica,20011,Intermedio
Cesar,Agustín Codazzi,20013,Intermedio
Cesar,Bosconia,20060,Intermedio
Cesar,Manaure,20443,Intermedio
Chocó,Unión Panamericana,27810,Intermedio
Córdoba,Ayapel,23068,Intermedio
Córdoba,Cereté,23162,Intermedio
Córdoba,Chinú,23182,Intermedio
Córdoba,Ciénaga de Oro,23189,Intermedio
Córdoba,Cotorra,23300,Intermedio
Córdoba,La Apartada,23350,Intermedio
Córdoba,Lorica,23417,Intermedio
Córdoba,Momil,23464,Intermedio
Córdoba,Montelíbano,23466,Intermedio
Córdoba,Moñitos,23500,Intermedio
Córdoba,Planeta Rica,23555,Intermedio
Córdoba,Purísima,23586,Intermedio
Córdoba,Sahagún,23660,Intermedio
Córdoba,San Andrés Sotavento,23670,Intermedio
Córdoba,San Antero,23672,Intermedio
Córdoba,San Bernardo del Viento,23675,Intermedio
Córdoba,Tierralta,23807,Intermedio
Córdoba,Tuchín,23815,Intermedio
Cundinamarca,Agua de Dios,25001,Intermedio
Cundinamarca,Albán,25019,Intermedio
Cundinamarca,Anapoima,25035,Intermedio
Cundinamarca,Anolaima,25040,Intermedio
Cundinamarca,Apulo,25599,Intermedio
Cundinamarca,Arbeláez,25053,Intermedio
Cundinamarca,Cachipay,25123,Intermedio
Cundinamarca,Cáqueza,25151,Intermedio
Cundinamarca,Choachí,25181,Intermedio
Cundinamarca,Chocontá,25183,Intermedio
Cundinamarca,El Colegio,25245,Intermedio
Cundinamarca,El Rosal,25260,Intermedio
Cundinamarca,Granada,25312,Intermedio
Cundinamarca,Guachetá,25317,Intermedio
Cundinamarca,La Mesa,25386,Intermedio
Cundinamarca,La Palma,25394,Intermedio
Cundinamarca,La Vega,25402,Intermedio
Cundinamarca,Nimaima,25489,Intermedio
Cundinamarca,Belén,52083,Intermedio
Cundinamarca,Chachagüí,52240,Intermedio
Cundinamarca,Colón,52203,Intermedio
Cundinamarca,Contadero,52210,Intermedio
Cundinamarca,Cuaspud,52224,Intermedio
Cundinamarca,Guaitarilla,52320,Intermedio
Cundinamarca,Gualmatán,52323,Intermedio
Cundinamarca,Iles,52352,Intermedio
Cundinamarca,La Cruz,52378,Intermedio
Cundinamarca,La Unión,52399,Intermedio
Cundinamarca,Ospina,52506,Intermedio
Cundinamarca,Providencia,52565,Intermedio
Cundinamarca,Pupiales,52585,Intermedio
Cundinamarca,Samaniego,52678,Intermedio
Cundinamarca,San Bernardo,52685,Intermedio
Cundinamarca,San Pablo,52693,Intermedio
Cundinamarca,San Pedro de Cartago,52694,Intermedio
Cundinamarca,Sandoná,52683,Intermedio
Cundinamarca,Túquerres,52838,Intermedio
Norte de Santander,Chinácota,54172,Intermedio
Norte de Santander,Puerto Santander,54553,Intermedio
Norte de Santander,Ragonvalia,54599,Intermedio
Putumayo,Colón,86219,Intermedio
Putumayo,Mocoa,86001,Intermedio
Putumayo,Sibundoy,86749,Intermedio
Putumayo,Valle del Guamuez,86865,Intermedio
Quindío,Buenavista,63111,Intermedio
Quindío,Córdoba,63212,Intermedio
Quindío,Filandia,63272,Intermedio
Quindío,Montenegro,63470,Intermedio
Quindío,Quimbaya,63594,Intermedio
Risaralda,Apía,66045,Intermedio
Risaralda,Belén de Umbría,66088,Intermedio
Risaralda,Guática,66318,Intermedio
Risaralda,La Celia,66383,Intermedio
Risaralda,La Virginia,66400,Intermedio
Risaralda,Marsella,66440,Intermedio
Risaralda,Quinchía,66594,Intermedio
Risaralda,Santuario,66687,Intermedio
Santander,Barbosa,68077,Intermedio
Santander,Barichara,68079,Intermedio
Santander,Capitanejo,68147,Intermedio
Santander,Güepsa,68327,Intermedio
Santander,Lebrija,68406,Intermedio
Santander,Nocaima,25491,Intermedio
Santander,Pacho,25513,Intermedio
Santander,Ricaurte,25612,Intermedio
Santander,San Antonio del Tequendama,25645,Intermedio
Santander,San Francisco,25658,Intermedio
Santander,Silvania,25743,Intermedio
Santander,Simijaca,25745,Intermedio
Santander,Subachoque,25769,Intermedio
Santander,Suesca,25772,Intermedio
Santander,Susa,25779,Intermedio
Santander,Tena,25797,Intermedio
Santander,Tenjo,25799,Intermedio
Santander,Tocaima,25815,Intermedio
Santander,Útica,25851,Intermedio
Santander,Vianí,25867,Intermedio
Santander,Villa de San Diego de Ubaté,25843,Intermedio
Santander,Villapinzón,25873,Intermedio
Santander,Villeta,25875,Intermedio
Santander,Viotá,25878,Intermedio
Santander,Zipacón,25898,Intermedio
Huila,Campoalegre,41132,Intermedio
Huila,Garzón,41298,Intermedio
Huila,Gigante,41306,Intermedio
Huila,La Plata,41396,Intermedio
Huila,Pital,41548,Intermedio
Huila,Pitalito,41551,Intermedio
Huila,Timaná,41807,Intermedio
La Guajira,Distracción,44098,Intermedio
La Guajira,Fonseca,44279,Intermedio
La Guajira,Hatonuevo,44378,Intermedio
La Guajira,Manaure,44560,Intermedio
La Guajira,Urumita,44855,Intermedio
La Guajira,Villanueva,44874,Intermedio
Magdalena,Aracataca,47053,Intermedio
Magdalena,Concordia,47205,Intermedio
Magdalena,El Banco,47245,Intermedio
Magdalena,El Retén,47268,Intermedio
Magdalena,Fundación,47288,Intermedio
Magdalena,Plato,47555,Intermedio
Magdalena,Zona Bananera,47980,Intermedio
Meta,Acacías,50006,Intermedio
Meta,Granada,50313,Intermedio
Nariño,Albán,52019,Intermedio
Nariño,Arboleda,52051,Intermedio
Nariño,Lérida,73408,Intermedio
Nariño,Líbano,73411,Intermedio
Nariño,Mariquita,73443,Intermedio
Nariño,Melgar,73449,Intermedio
Nariño,Palocabildo,73520,Intermedio
Nariño,Purificación,73585,Intermedio
Nariño,Saldaña,73671,Intermedio
Nariño,Venadillo,73861,Intermedio
Valle del Cauca,Alcalá,76020,Intermedio
Valle del Cauca,Andalucía,76036,Intermedio
