departamento,anio,tasa_desercion
Nariño,2012,0.1252012882447665
Norte De Santander,2012,0.14360018091361376
Putumayo,2012,0.1875
Quindío,2012,0.06947162426614481
Risaralda,2012,0.06312997347480107
Santander,2012,0.19130998702983137
Sucre,2012,0.115995115995116
Tolima,2012,0.07169740308618743
Valle Del Cauca,2012,0.11961284730582174
Vaupés,2012,0.0
Vichada,2012,0.0
Amazonas,2013,0.18633540372670807
Antioquia,2013,0.08353724971868469
Arauca,2013,0.10567514677103718
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2013,0.03571428571428571
Atlántico,2013,0.10781503178362209
Bogotá D.C.,2013,0.08988833746898263
Bolívar,2013,0.13772343014006302
Boyacá,2013,0.05882744836775483
Caldas,2013,0.05354677031657546
Caquetá,2013,0.09126094927683846
Casanare,2013,0.12854609929078015
Cauca,2013,0.07563231061301978
Cesar,2013,0.1273758430410791
Chocó,2013,0.10438441699470612
Córdoba,2013,0.09756734182501565
Cundinamarca,2013,0.06780648113482259
Guainía,2013,0.12
Guaviare,2013,0.15708812260536398
Huila,2013,0.09229595728451563
La Guajira,2013,0.11651388335326159
Magdalena,2013,0.07503158713188843
Meta,2013,0.1040859586287552
Nariño,2013,0.08809065640367757
Norte De Santander,2013,0.10519619659836614
Putumayo,2013,0.11123595505617978
Quindío,2013,0.08295856087375522
Risaralda,2013,0.07305260325575137
Santander,2013,0.08028909329829172
Sucre,2013,0.1202641640597845
Tolima,2013,0.10273934850906685
Valle Del Cauca,2013,0.0937352945641119
Vaupés,2013,0.34782608695652173
Vichada,2013,0.31313131313131315
Departamento de oferta del programa,2013,2013.0
Amazonas,2013,0.02631578947368421
Antioquia,2013,0.0949772509578544
Arauca,2013,0.14427860696517414
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2013,0.14726840855106887
Atlántico,2013,0.1460843373493976
Bogotá D.C.,2013,0.1899074090219533
Bolívar,2013,0.1258922403868294
Boyacá,2013,0.07471599184386833
Caldas,2013,0.10552970161511087
Caquetá,2013,0.10518934081346423
Casanare,2013,0.07718282682103232
Cauca,2013,0.08132221734678953
Cesar,2013,0.05918003565062389
Chocó,2013,0.05291005291005291
Córdoba,2013,0.08392101551480959
Cundinamarca,2013,0.056818181818181816
Guainía,2013,0.0
Guaviare,2013,0.019448946515397084
Huila,2013,0.045142296368989206
La Guajira,2013,0.0855036855036855
Magdalena,2013,0.11814278899666084
Meta,2013,0.08892128279883382
Nariño,2013,0.06571113561190739
Norte De Santander,2013,0.1240220226021443
Putumayo,2013,0.08675263774912075
Quindío,2013,0.07050699618389969
Risaralda,2013,0.09565412186379928
Santander,2013,0.14401049137330438
Sucre,2013,0.10790697674418605
Tolima,2013,0.0967773060594365
Valle Del Cauca,2013,0.11796645228014609
Vaupés,2013,0.018867924528301886
Vichada,2013,0.032432432432432434
Departamento de oferta del programa,2013,2013.0
Antioquia,2013,0.15417348608837972
Arauca,2013,0.6111111111111112
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2013,0.7023809523809523
Atlántico,2013,0.27936386280896724
Bogotá D.C.,2013,0.22635830825281167
Bolívar,2013,0.18238021638330756
Boyacá,2013,0.2425629290617849
Caldas,2013,0.1537313432835821
Caquetá,2013,0.21428571428571427
Casanare,2013,0.28776978417266186
