termino,coef,se,pval,modelo
C(anio)[T.2021],-0.10071351884453994,1.357983297090992e-13,0.0,M2_FE_anio_depto
C(anio)[T.2022],-0.11508472748498816,1.3035977996187914e-13,0.0,M2_FE_anio_depto
C(anio)[T.2023],-0.10139407516016659,1.3775518606567218e-13,0.0,M2_FE_anio_depto
C(departamento)[T.Antioquia],-117665359226.84674,0.9179787126295926,0.0,M2_FE_anio_depto
C(departamento)[T.Arauca],101587331732.07277,0.7925442850447189,0.0,M2_FE_anio_depto
C(departamento)[T.Atlántico],114914305784.59457,0.896516078990023,0.0,M2_FE_anio_depto
C(departamento)[T.Bolívar],94912629042.30621,0.7404708878903822,0.0,M2_FE_anio_depto
C(departamento)[T.Boyacá],-117800416857.67589,0.9190323789836818,0.0,M2_FE_anio_depto
C(departamento)[T.Caldas],-135766090215.51273,1.0591934748993932,0.0,M2_FE_anio_depto
C(departamento)[T.Caquetá],68041596713.15675,0.530833694525265,0.0,M2_FE_anio_depto
C(departamento)[T.Casanare],45454897049.66732,0.3546211744104513,0.0,M2_FE_anio_depto
C(departamento)[T.Cauca],57544372678.02873,0.44893849385417245,0.0,M2_FE_anio_depto
C(departamento)[T.Cesar],47566210699.76326,0.37109281057513127,0.0,M2_FE_anio_depto
C(departamento)[T.Chocó],86125768293.64279,0.6719192668259679,0.0,M2_FE_anio_depto
C(departamento)[T.Cundinamarca],-137410607574.72075,1.0720233505587289,0.0,M2_FE_anio_depto
C(departamento)[T.Córdoba],78778645308.1851,0.6145999118004539,0.0,M2_FE_anio_depto
C(departamento)[T.Guainía],130651307299.36357,1.0192899564173348,0.0,M2_FE_anio_depto
C(departamento)[T.Guaviare],106207101622.29364,0.8285859071866212,0.0,M2_FE_anio_depto
C(departamento)[T.Huila],-9335714855.52692,0.0728335642777287,0.0,M2_FE_anio_depto
C(departamento)[T.Magdalena],70370491679.83017,0.5490028142852252,0.0,M2_FE_anio_depto
C(departamento)[T.Meta],-16918588774.941307,0.1319921550841162,0.0,M2_FE_anio_depto
C(departamento)[T.Nariño],74685042372.9992,0.5826632366637576,0.0,M2_FE_anio_depto
C(departamento)[T.Putumayo],88675449318.0226,0.6918108723056228,0.0,M2_FE_anio_depto
C(departamento)[T.Quindío],-118673256911.19354,0.9258419327378652,0.0,M2_FE_anio_depto
C(departamento)[T.Risaralda],-148175180966.6304,1.1560043054398763,0.0,M2_FE_anio_depto
C(departamento)[T.Santander],-70545643191.8445,0.5503692772825235,0.0,M2_FE_anio_depto
C(departamento)[T.Sucre],99768124841.88412,0.7783515505813211,0.0,M2_FE_anio_depto
C(departamento)[T.Tolima],-125647305790.54071,0.9802507107689683,0.0,M2_FE_anio_depto
C(departamento)[T.Vaupés],131154150316.39723,1.0232129392599694,0.0,M2_FE_anio_depto
C(departamento)[T.Vichada],130756793641.85953,1.0201129192459686,0.0,M2_FE_anio_depto
prop_superior_mean,31505998717.88086,0.2457973725930948,0.0,M2_FE_anio_depto
estrato_pred_mean,244316464294.17096,1.906060669348993,0.0,M2_FE_anio_depto
rural_share,101622636455.7541,0.7928197185718209,0.0,M2_FE_anio_depto
