departamento,anio,tasa_desercion,depto_key,prop_superior_mean,estrato_pred_mean,rural_share,n_municipios
Bolívar,2014,0.14529647793134196,BOLIVAR,0.03571047892081166,1.0222222222222221,0.30434782608695654,46.0
Boyacá,2014,0.09258496395468589,BOYACA,0.03830873304669117,1.8604651162790697,0.38144329896907214,97.0
Caldas,2014,0.11682290091724624,CALDAS,0.0400693349019389,2.0,0.2222222222222222,27.0
Caquetá,2014,0.1659919028340081,CAQUETA,0.02665721228382872,1.0,0.625,16.0
Casanare,2014,0.2492427520553873,CASANARE,0.039759536224387826,1.263157894736842,0.21052631578947367,19.0
Cauca,2014,0.13178548070634402,CAUCA,0.030946057286912684,1.103448275862069,0.4782608695652174,46.0
Cesar,2014,0.06769300430156215,CESAR,0.04701469648642547,1.0416666666666667,0.72,25.0
Chocó,2014,0.12445223488168274,CHOCO,0.02743359440448714,1.0333333333333334,0.36666666666666664,30.0
Córdoba,2014,0.06310336708264658,CORDOBA,0.04971569469632795,1.0,0.5121951219512195,41.0
Cundinamarca,2014,0.09243553987136434,CUNDINAMARCA,0.04923662809977724,1.9894736842105263,0.2608695652173913,115.0
Guainía,2014,0.171875,GUAINIA,0.05536403750689465,1.0,0.0,9.0
Guaviare,2014,0.10384894698620188,GUAVIARE,0.024847517606317905,1.0,0.25,4.0
Huila,2014,0.14738182396944136,HUILA,0.0305849857924782,1.391304347826087,0.4444444444444444,27.0
Magdalena,2014,0.15519957983193278,MAGDALENA,0.033375645385512194,1.0,0.6,30.0
Meta,2014,0.19354153388570214,META,0.03700554004522973,1.44,0.4,30.0
Nariño,2014,0.1402974983096687,NARINO,0.026479308399941046,1.0444444444444445,0.4528301886792453,53.0
Putumayo,2014,0.18914381645215445,PUTUMAYO,0.04371840735626026,1.0,0.4166666666666667,12.0
Quindío,2014,0.15492957746478872,QUINDIO,0.054162557111810034,1.9166666666666667,0.25,12.0
Risaralda,2014,0.1203342618384401,RISARALDA,0.04291154952843301,2.142857142857143,0.0,14.0
Santander,2014,0.17275504782146653,SANTANDER,0.04121791563152944,1.7076923076923076,0.2828282828282828,99.0
Sucre,2014,0.13842619184376795,SUCRE,0.04313395171061328,1.0,0.3076923076923077,26.0
Tolima,2014,0.2086473319631575,TOLIMA,0.059172724607157126,1.9,0.35714285714285715,14.0
Vaupés,2014,0.02564102564102564,VAUPES,0.03940380651968481,1.0,0.0,6.0
Vichada,2014,0.18007662835249041,VICHADA,0.05201590233380985,1.0,0.0,21.0
Amazonas,2014,0.02127659574468085,AMAZONAS,0.03170675400527576,1.5,0.09090909090909091,11.0
Antioquia,2014,0.1493844049247606,ANTIOQUIA,0.039919495072987914,1.896551724137931,0.29285714285714287,140.0
Arauca,2014,0.2857142857142857,ARAUCA,0.05628248418631043,1.0,0.2857142857142857,7.0
Atlántico,2014,0.20236450176569937,ATLANTICO,0.07746049772630743,1.0434782608695652,0.043478260869565216,23.0
Bolívar,2014,0.23769685039370078,BOLIVAR,0.03571047892081166,1.0222222222222221,0.30434782608695654,46.0
Boyacá,2014,0.027675276752767528,BOYACA,0.03830873304669117,1.8604651162790697,0.38144329896907214,97.0
Caldas,2014,0.1189710610932476,CALDAS,0.0400693349019389,2.0,0.2222222222222222,27.0
Caquetá,2014,0.2127659574468085,CAQUETA,0.02665721228382872,1.0,0.625,16.0
Casanare,2014,0.2604166666666667,CASANARE,0.039759536224387826,1.263157894736842,0.21052631578947367,19.0
Cauca,2014,0.1885245901639344,CAUCA,0.030946057286912684,1.103448275862069,0.4782608695652174,46.0
Cesar,2014,0.19117647058823528,CESAR,0.04701469648642547,1.0416666666666667,0.72,25.0
Chocó,2014,0.0625,CHOCO,0.02743359440448714,1.0333333333333334,0.36666666666666664,30.0
Córdoba,2014,0.12316715542521994,CORDOBA,0.04971569469632795,1.0,0.5121951219512195,41.0
Cundinamarca,2014,0.06742738589211618,CUNDINAMARCA,0.04923662809977724,1.9894736842105263,0.2608695652173913,115.0
Huila,2014,0.19767441860465115,HUILA,0.0305849857924782,1.391304347826087,0.4444444444444444,27.0
Magdalena,2014,0.18622656886715566,MAGDALENA,0.033375645385512194,1.0,0.6,30.0
Meta,2014,0.13307240704500978,META,0.03700554004522973,1.44,0.4,30.0
Nariño,2014,0.2073170731707317,NARINO,0.026479308399941046,1.0444444444444445,0.4528301886792453,53.0
Putumayo,2014,0.2727272727272727,PUTUMAYO,0.04371840735626026,1.0,0.4166666666666667,12.0
Quindío,2014,0.23067253299811438,QUINDIO,0.054162557111810034,1.9166666666666667,0.25,12.0
Risaralda,2014,0.16833976833976835,RISARALDA,0.04291154952843301,2.142857142857143,0.0,14.0
Santander,2014,0.23574631646380526,SANTANDER,0.04121791563152944,1.7076923076923076,0.2828282828282828,99.0
Sucre,2014,0.0967238689547582,SUCRE,0.04313395171061328,1.0,0.3076923076923077,26.0
Tolima,2014,0.23462986198243413,TOLIMA,0.059172724607157126,1.9,0.35714285714285715,14.0
Vichada,2014,0.3684210526315789,VICHADA,0.05201590233380985,1.0,0.0,21.0
Amazonas,2014,0.32983193277310924,AMAZONAS,0.03170675400527576,1.5,0.09090909090909091,11.0
Antioquia,2014,0.1359401328179205,ANTIOQUIA,0.039919495072987914,1.896551724137931,0.29285714285714287,140.0
Arauca,2014,0.18032786885245902,ARAUCA,0.05628248418631043,1.0,0.2857142857142857,7.0
Atlántico,2014,0.10907075046774305,ATLANTICO,0.07746049772630743,1.0434782608695652,0.043478260869565216,23.0
Bolívar,2014,0.13609177370330425,BOLIVAR,0.03571047892081166,1.0222222222222221,0.30434782608695654,46.0
Boyacá,2014,0.09642233856893542,BOYACA,0.03830873304669117,1.8604651162790697,0.38144329896907214,97.0
Caldas,2014,0.11659991099243436,CALDAS,0.0400693349019389,2.0,0.2222222222222222,27.0
Caquetá,2014,0.16414141414141414,CAQUETA,0.02665721228382872,1.0,0.625,16.0
Casanare,2014,0.24875846501128668,CASANARE,0.039759536224387826,1.263157894736842,0.21052631578947367,19.0
Cauca,2014,0.13102076889085285,CAUCA,0.030946057286912684,1.103448275862069,0.4782608695652174,46.0
Cesar,2014,0.06377014716187807,CESAR,0.04701469648642547,1.0416666666666667,0.72,25.0
Chocó,2014,0.1334002006018054,CHOCO,0.02743359440448714,1.0333333333333334,0.36666666666666664,30.0
Córdoba,2014,0.05161290322580645,CORDOBA,0.04971569469632795,1.0,0.5121951219512195,41.0
Cundinamarca,2014,0.09388738331827763,CUNDINAMARCA,0.04923662809977724,1.9894736842105263,0.2608695652173913,115.0
Guainía,2014,0.171875,GUAINIA,0.05536403750689465,1.0,0.0,9.0
Guaviare,2014,0.10384894698620188,GUAVIARE,0.024847517606317905,1.0,0.25,4.0
