codigo_dane,departamento,municipio,tipo_ruralidad,escolaridad_total,esc_basica_primaria,esc_basica_secundaria,esc_doctorado,esc_especializacion,esc_maestria,esc_media_academica_clasica,esc_media_tecnica,esc_ninguno,esc_no_informa,esc_normalista,esc_preescolar,esc_profesional,esc_resumen,esc_tecnologica,esc_tecnica_profesional,estrato_predominante,n_manzanas_estrato_pred,n_manzanas_total,prop_manzanas_bajas_1_2,anio_poblacion_departamental,poblacion_departamental
47189,MAGDALENA,Ciénaga,Ciudades y aglomeraciones,93453.0,32076.0,19175.0,0.0,132.0,75.0,11921.0,4043.0,12820.0,804.0,185.0,6298.0,3619.0,0.0,469.0,1836.0,1.0,664.0,1049.0,0.8894184938036225,2050.0,1722017.0
47001,MAGDALENA,Santa Marta,Ciudades y aglomeraciones,384586.0,110289.0,82973.0,200.0,3078.0,552.0,54798.0,19996.0,28423.0,5100.0,766.0,24427.0,35509.0,0.0,4762.0,13713.0,1.0,1717.0,4549.0,0.563200703451308,2050.0,1722017.0
50001,META,Villavicencio,Ciudades y aglomeraciones,354463.0,115979.0,75328.0,81.0,4209.0,934.0,53758.0,14257.0,26311.0,1493.0,473.0,16418.0,31406.0,0.0,3914.0,9902.0,1.0,1811.0,5317.0,0.6334399097235283,2050.0,1383966.0
52356,NARIÑO,Ipiales,Ciudades y aglomeraciones,101819.0,45016.0,16324.0,78.0,435.0,168.0,12093.0,3185.0,8394.0,4984.0,309.0,4243.0,4559.0,0.0,552.0,1479.0,2.0,367.0,869.0,0.761795166858458,2050.0,1806176.0
52480,NARIÑO,Nariño,Ciudades y aglomeraciones,3982.0,2187.0,566.0,0.0,2.0,1.0,447.0,59.0,381.0,116.0,1.0,110.0,70.0,0.0,22.0,20.0,1.0,43.0,54.0,1.0,2050.0,1806176.0
52001,NARIÑO,Pasto,Ciudades y aglomeraciones,360682.0,134342.0,52958.0,191.0,6092.0,621.0,53974.0,13558.0,20778.0,10611.0,637.0,16669.0,37726.0,0.0,6736.0,5789.0,2.0,1117.0,2840.0,0.6746478873239437,2050.0,1806176.0
52835,NARIÑO,San Andrés de Tumaco,Ciudades y aglomeraciones,,,,,,,,,,,,,,,,,1.0,893.0,907.0,0.9966923925027563,2050.0,1806176.0
54001,NORTE DE SANTANDER,Cúcuta,Ciudades y aglomeraciones,,,,,,,,,,,,,,,,,,,,,2050.0,1726846.0
54405,NORTE DE SANTANDER,Los Patios,Ciudades y aglomeraciones,,,,,,,,,,,,,,,,,2.0,615.0,895.0,0.8100558659217877,2050.0,1726846.0
54498,NORTE DE SANTANDER,Ocaña,Ciudades y aglomeraciones,,,,,,,,,,,,,,,,,1.0,785.0,1374.0,0.8544395924308588,2050.0,1726846.0
54518,NORTE DE SANTANDER,Pamplona,Ciudades y aglomeraciones,,,,,,,,,,,,,,,,,2.0,148.0,422.0,0.6919431279620853,2050.0,1726846.0
54874,NORTE DE SANTANDER,Villa del Rosario,Ciudades y aglomeraciones,,,,,,,,,,,,,,,,,1.0,572.0,1024.0,0.830078125,2050.0,1726846.0
86568,PUTUMAYO,Puerto Asís,Ciudades y aglomeraciones,40805.0,20239.0,6703.0,38.0,216.0,31.0,3988.0,419.0,4077.0,1802.0,52.0,1626.0,885.0,0.0,223.0,506.0,1.0,565.0,690.0,0.9782608695652174,2050.0,477616.0
63001,QUINDÍO,Armenia,Ciudades y aglomeraciones,259400.0,84789.0,57500.0,155.0,3507.0,802.0,37152.0,14643.0,16660.0,260.0,622.0,10199.0,23424.0,0.0,3922.0,5765.0,3.0,1006.0,3153.0,0.5629559150015858,,
63130,QUINDÍO,Calarcá,Ciudades y aglomeraciones,67542.0,26426.0,13850.0,20.0,515.0,40.0,9567.0,3130.0,6513.0,47.0,111.0,2412.0,3582.0,0.0,539.0,790.0,2.0,378.0,671.0,0.7004470938897168,,
63190,QUINDÍO,Circasia,Ciudades y aglomeraciones,25435.0,10328.0,5353.0,41.0,273.0,54.0,3101.0,1066.0,2455.0,7.0,18.0,1042.0,1169.0,0.0,245.0,283.0,2.0,147.0,272.0,0.875,,
63401,QUINDÍO,La Tebaida,Ciudades y aglomeraciones,30788.0,13304.0,6162.0,8.0,98.0,9.0,3378.0,980.0,3841.0,98.0,19.0,1671.0,639.0,0.0,220.0,361.0,2.0,297.0,411.0,0.9829683698296837,,
66170,RISARALDA,Dosquebradas,Ciudades y aglomeraciones,162247.0,58343.0,36312.0,97.0,892.0,168.0,24428.0,7398.0,11377.0,585.0,501.0,6534.0,9599.0,0.0,2536.0,3477.0,2.0,852.0,1916.0,0.6075156576200418,2050.0,921956.0
66001,RISARALDA,Pereira,Ciudades y aglomeraciones,404603.0,146498.0,85278.0,378.0,5331.0,1222.0,55474.0,17570.0,29692.0,631.0,1007.0,15671.0,31012.0,0.0,5701.0,9138.0,2.0,1145.0,3478.0,0.5500287521564118,2050.0,921956.0
66682,RISARALDA,Santa Rosa de Cabal,Ciudades y aglomeraciones,63550.0,26097.0,12553.0,20.0,353.0,91.0,7025.0,3537.0,6161.0,91.0,190.0,2964.0,2801.0,0.0,870.0,797.0,2.0,352.0,749.0,0.6154873164218959,2050.0,921956.0
68081,SANTANDER,Barrancabermeja,Ciudades y aglomeraciones,173874.0,58404.0,35369.0,36.0,2019.0,328.0,16648.0,18253.0,14494.0,131.0,98.0,7683.0,12922.0,0.0,3261.0,4228.0,1.0,1136.0,2709.0,0.7674418604651163,2050.0,2552448.0
68001,SANTANDER,Bucaramanga,Ciudades y aglomeraciones,476851.0,151566.0,88852.0,293.0,9133.0,2060.0,62840.0,23231.0,28511.0,537.0,1275.0,19470.0,64806.0,0.0,15051.0,9226.0,1.0,1579.0,4363.0,0.5553518221407289,2050.0,2552448.0
68276,SANTANDER,Floridablanca,Ciudades y aglomeraciones,239142.0,79815.0,46642.0,90.0,3663.0,510.0,30232.0,17077.0,12945.0,127.0,464.0,9150.0,25192.0,0.0,7003.0,6232.0,2.0,853.0,2033.0,0.6305951795376291,2050.0,2552448.0
68307,SANTANDER,Girón,Ciudades y aglomeraciones,126219.0,48320.0,26381.0,24.0,582.0,152.0,15866.0,7744.0,10503.0,749.0,142.0,5751.0,5001.0,0.0,3004.0,2000.0,1.0,620.0,1521.0,0.7245233399079553,2050.0,2552448.0
68432,SANTANDER,Málaga,Ciudades y aglomeraciones,17183.0,7211.0,3151.0,6.0,226.0,35.0,1735.0,1444.0,1020.0,67.0,153.0,893.0,781.0,0.0,287.0,174.0,2.0,168.0,229.0,0.9694323144104804,2050.0,2552448.0
68547,SANTANDER,Piedecuesta,Ciudades y aglomeraciones,109659.0,43869.0,21521.0,102.0,1054.0,57.0,15717.0,4229.0,9223.0,504.0,295.0,4332.0,5077.0,0.0,2213.0,1466.0,3.0,662.0,1167.0,0.38217652099400173,2050.0,2552448.0
