,codigo_dane,escolaridad_total,esc_basica_primaria,esc_basica_secundaria,esc_doctorado,esc_especializacion,esc_maestria,esc_media_academica_clasica,esc_media_tecnica,esc_ninguno,esc_no_informa,esc_normalista,esc_preescolar,esc_profesional,esc_resumen,esc_tecnologica,esc_tecnica_profesional,estrato_predominante,n_manzanas_estrato_pred,n_manzanas_total,prop_manzanas_bajas_1_2,anio_poblacion_departamental,poblacion_departamental,educ_info_disp,esc_superior,prop_basica_primaria,prop_basica_secundaria,prop_doctorado,prop_especializacion,prop_maestria,prop_media_academica_clasica,prop_media_tecnica,prop_ninguno,prop_no_informa,prop_normalista,prop_preescolar,prop_profesional,prop_resumen,prop_tecnologica,prop_tecnica_profesional,prop_superior
esc_no_informa,0.08918312067673355,0.9976689595127669,0.9972513193844433,0.9977266757109303,0.9981114679236751,0.9978550141818971,0.9982189355720387,0.997961187586176,0.9972304771286802,0.9961873368987537,1.0,0.9969551785312788,0.9969473143317296,0.9968880545396731,,0.9979095673001562,0.9963918137313131,-0.03351954082187375,0.051147855370857705,0.059305043553835035,0.0061446600938684275,,-0.038186697833472415,,0.9973643050819943,-0.06383345317240106,0.037797645538858976,0.02524533029470087,0.07782408764206483,0.07117789442666822,0.05867535235291772,0.031950273719018804,-0.041277950424459635,0.011897733005371936,-0.006924989531291954,0.0035310210881615424,0.09962539976692714,,0.0846807429724149,0.07113943637083846,0.10024199642022599
esc_normalista,0.09078824858846879,0.9995512549726454,0.9994963965939782,0.999456016128929,0.9990905545905735,0.9989630942012043,0.9986999108570898,0.9992104724417787,0.999353959692582,0.9990772238726815,0.9969551785312788,1.0,0.999433889389389,0.9987730798505595,,0.9968060521367401,0.9982566730756646,-0.027861636594455896,0.0461460528349444,0.0502247784466026,-0.003127313050741189,,-0.04002439068472132,,0.998764174346432,-0.06413981186164697,0.05067597189124026,0.021563339859487152,0.09096919071331404,0.079724213218729,0.06996930397636798,0.041062408920141784,-0.04588190337754542,-0.008678703909019163,0.01254095390340525,0.008466622658883932,0.11694926882934376,,0.09104735494662013,0.08105227927662637,0.11550785190142723
esc_preescolar,0.08942066630555658,0.9998393214331609,0.9997039077970796,0.9998041605716896,0.9989858318499552,0.9988971064122866,0.9984589865866653,0.9995613794674503,0.9997546155019948,0.9993209945090551,0.9969473143317296,0.999433889389389,1.0,0.9990853503753625,,0.9968085246636998,0.9991738242901134,-0.03216939055113235,0.05182274598307136,0.054868272872123786,-0.0003224076225450822,,-0.040619950637603534,,0.9990998094017706,-0.06550629928741314,0.051737461032873924,0.02106965560333323,0.08476866933381001,0.07527703669803,0.07101706796949592,0.04111309838162243,-0.0453621085355561,-0.0081670115636696,-0.006204969915981412,0.011719855272956303,0.11653276620173143,,0.09100488105321727,0.08774349752599907,0.11595540613598966
esc_profesional,0.08920105275431492,0.9992225027885356,0.9986175824392659,0.9993663569851069,0.9992130967244182,0.9996754106964434,0.9993447396124164,0.9995888615103796,0.9992771751721048,0.9975164215343247,0.9968880545396731,0.9987730798505595,0.9990853503753625,1.0,,0.9985832491286525,0.9992010031393147,-0.026353587709269714,0.07499076073677856,0.08371496844555709,-0.010795602237187597,,-0.03869018138977417,,0.9999481546562082,-0.07020416943487433,0.053988700177366754,0.024192490180546488,0.10148058969246691,0.08857322228832908,0.07709464495029568,0.04536531870158361,-0.053359881990883255,-0.008437946026323088,-0.0066291088471753115,0.007591563294213521,0.13587933416371387,,0.10563374766477499,0.09462983962216805,0.13370806626473378
esc_resumen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esc_tecnologica,0.08583018387588993,0.9975171217241829,0.9965506149237795,0.9978844673010252,0.998488936019806,0.9987089831332048,0.9989072609390641,0.9985058285295866,0.9975708293881982,0.9947857817650846,0.9979095673001562,0.9968060521367401,0.9968085246636998,0.9985832491286525,,1.0,0.9977138694618733,-0.023332115960358706,0.08459780114246178,0.0971938269665837,-0.014300999557694498,,-0.031420505816068985,,0.9989425178947928,-0.0717182020851238,0.05646888697167209,0.02572695573084108,0.10052898105121834,0.08934922745710512,0.08060363494602438,0.04650019620529845,-0.055645002741596325,-0.007954585945870162,-0.007195247088839163,0.0054779032378690674,0.1339098680897714,,0.11852213884521813,0.0966087206717604,0.1349427344524608
esc_tecnica_profesional,0.08653730879040161,0.9988641776673949,0.9981857535890857,0.9991364348148982,0.9984917373803655,0.998466874323249,0.9980738448776736,0.9992081621927805,0.9990974253743491,0.9972102084557319,0.9963918137313131,0.9982566730756646,0.9991738242901134,0.9992010031393147,,0.9977138694618733,1.0,-0.029046042578249137,0.07259485594458395,0.07810571981407632,-0.006636216640987778,,-0.03747833415476075,,0.99938343160546,-0.07153678675643667,0.05733045371119344,0.023354053413959786,0.09239734273563326,0.08136788688095421,0.07877881709035392,0.04641988735200135,-0.053394492640328375,-0.008641050019487034,-0.0074961629601317005,0.010865241914943135,0.12971091905842544,,0.10427590030924289,0.10389788844455643,0.1306587750411095
estrato_predominante,-0.11270672689053532,-0.029918663443063206,-0.030184735071012277,-0.02915336630921396,-0.02691871413187947,-0.02412781326523058,-0.02496495778625611,-0.02761825874938998,-0.02837004546207037,-0.03625328679628523,-0.03351954082187375,-0.027861636594455896,-0.03216939055113235,-0.026353587709269714,,-0.023332115960358706,-0.029046042578249137,1.0,0.002142583397377599,0.048011000996084165,-0.5783632288711521,,0.41317138909921763,-0.05689924137094312,-0.025926418692884468,0.1915638045684744,0.1387584247055816,-0.05075382884108905,0.35868119770317064,0.13600526261657936,0.14752938701812923,0.19307470633146556,-0.3699385915378712,-0.2012933967234273,0.024949455178924097,-0.28456146752472444,0.20359285509797925,,0.29442574252730436,0.12876516568362859,0.239866740295017
n_manzanas_estrato_pred,-0.002623681501354153,0.052813493103596655,0.04297152420945901,0.05858486400079122,0.05625965219386994,0.06558205692464326,0.06411541109777798,0.0669597558693095,0.05815776768469205,0.033324426116150385,0.051147855370857705,0.0461460528349444,0.05182274598307136,0.07499076073677856,,0.08459780114246178,0.07259485594458395,0.002142583397377599,1.0,0.9831593360384686,-0.22981098165937602,,0.037282568513823625,-0.10609324367442452,0.03753275184059813,-0.4283622237129015,0.37711962072811317,0.05929958966705028,0.35926303358630696,0.2826952969018345,0.454692866213032,0.24026105731217234,-0.21058719294070438,-0.06924772087513141,-0.016225230983083372,0.14480278237761163,0.5971303804096391,,0.4302553065238733,0.5095939318344302,0.5905548292562355
n_manzanas_total,0.0004278201002426701,0.057671446452852625,0.04687033035002872,0.0639079613354002,0.06420232766280315,0.07480312955528093,0.07436310057573085,0.07357558437428247,0.06370708388222426,0.03394112255138334,0.059305043553835035,0.0502247784466026,0.054868272872123786,0.08371496844555709,,0.0971938269665837,0.07810571981407632,0.048011000996084165,0.9831593360384686,1.0,-0.24914675434586872,,0.05736422790868163,-0.10783977630933736,0.03786830694865972,-0.3751045411797723,0.3364003104107527,0.058955961004475706,0.3899386277454115,0.3025653008402933,0.42303614519502,0.23927659409066307,-0.2400948427889142,-0.06490803869693122,-0.02358581677620886,0.0800830437619255,0.605205051170863,,0.448772582796531,0.47678408060527055,0.5949128400246871
